Time Velx1 Vely1 Velx2 Vely2 Velx3 Vely3
2.149872e+01 -7.317742e-02 6.996515e-01 -8.188124e-02 6.968244e-01 -5.138993e-02 6.994896e-01
2.159765e+01 -7.441894e-02 7.031928e-01 -8.333025e-02 7.008548e-01 -5.207818e-02 7.017217e-01
2.169959e+01 -7.573830e-02 7.068637e-01 -8.485417e-02 7.050787e-01 -5.283232e-02 7.039442e-01
2.179850e+01 -7.702693e-02 7.104454e-01 -8.635299e-02 7.092106e-01 -5.355539e-02 7.060546e-01
2.189743e+01 -7.830463e-02 7.140737e-01 -8.785945e-02 7.134196e-01 -5.422518e-02 7.081517e-01
2.199933e+01 -7.959353e-02 7.178809e-01 -8.939334e-02 7.178419e-01 -5.484268e-02 7.103300e-01
2.209824e+01 -8.077766e-02 7.216014e-01 -9.083111e-02 7.221624e-01 -5.534162e-02 7.124857e-01
2.219711e+01 -8.193967e-02 7.253416e-01 -9.227406e-02 7.265013e-01 -5.575767e-02 7.147172e-01
2.229893e+01 -8.308779e-02 7.292107e-01 -9.373418e-02 7.309769e-01 -5.609333e-02 7.170560e-01
2.239777e+01 -8.415276e-02 7.329732e-01 -9.512841e-02 7.353165e-01 -5.632126e-02 7.193600e-01
2.249974e+01 -8.518264e-02 7.368956e-01 -9.649170e-02 7.398372e-01 -5.648750e-02 7.217508e-01
2.259838e+01 -8.600442e-02 7.408722e-01 -9.759475e-02 7.444591e-01 -5.659594e-02 7.240790e-01
2.269710e+01 -8.653145e-02 7.452604e-01 -9.831880e-02 7.496303e-01 -5.662357e-02 7.264785e-01
2.279767e+01 -8.724476e-02 7.495514e-01 -9.929549e-02 7.546460e-01 -5.666156e-02 7.289534e-01
2.289979e+01 -8.799106e-02 7.538799e-01 -1.003263e-01 7.596538e-01 -5.668660e-02 7.315516e-01
2.299801e+01 -8.876783e-02 7.580291e-01 -1.013903e-01 7.644179e-01 -5.672710e-02 7.341354e-01
2.309757e+01 -8.955529e-02 7.622514e-01 -1.024638e-01 7.692406e-01 -5.678194e-02 7.368307e-01
2.319973e+01 -9.038727e-02 7.665633e-01 -1.035953e-01 7.741465e-01 -5.686648e-02 7.396350e-01
2.329800e+01 -9.117451e-02 7.707360e-01 -1.046544e-01 7.788939e-01 -5.697701e-02 7.423522e-01
2.339834e+01 -9.195549e-02 7.750268e-01 -1.056803e-01 7.837687e-01 -5.712935e-02 7.451456e-01
2.349843e+01 -9.276156e-02 7.792898e-01 -1.067375e-01 7.885920e-01 -5.729239e-02 7.479549e-01
2.359883e+01 -9.353707e-02 7.835494e-01 -1.077475e-01 7.933889e-01 -5.745985e-02 7.507912e-01
2.369967e+01 -9.436782e-02 7.878630e-01 -1.088178e-01 7.982272e-01 -5.766323e-02 7.536604e-01
2.379817e+01 -9.506134e-02 7.920896e-01 -1.097067e-01 8.029453e-01 -5.782581e-02 7.564973e-01
2.389999e+01 -9.583757e-02 7.964664e-01 -1.107185e-01 8.078216e-01 -5.799017e-02 7.594601e-01
2.399918e+01 -9.647611e-02 8.007846e-01 -1.115623e-01 8.126128e-01 -5.807258e-02 7.624034e-01
